%	reads	taxReads	kmers	dup	cov	taxID	rank	taxName
0.03592	44	44	7469758	4.01	NA	0	no rank	unclassified
99.96	122434	1	61668	651	1.83e-06	1	no rank	root
99.34	121664	0	60682	625	1.817e-06	131567	no rank	  cellular organisms
99.34	121664	32	60388	627	2.019e-06	2	superkingdom	    Bacteria
54.28	66482	1	28879	407	2.55e-06	1783272	clade	      Terrabacteria group
53.95	66077	51	23186	482	5.487e-06	1239	phylum	        Firmicutes
33.46	40978	0	11343	437	1.179e-05	186801	class	          Clostridia
33.45	40972	1569	11017	448	1.274e-05	186802	order	            Eubacteriales
20.07	24584	595	3429	772	3.099e-05	216572	family	              Oscillospiraceae
7.511	9199	8372	973	671	3.629e-05	216851	genus	                Faecalibacterium
0.6752	827	827	211	58.6	2.436e-05	853	species	                  Faecalibacterium prausnitzii
7.285	8922	7907	265	1.65e+03	5.964e-05	2892396	genus	                Vescimonas
0.7528	922	922	90	827	4.129e-05	2714355	species	                  Vescimonas coprocola
0.07593	93	93	63	37.3	2.926e-05	2714353	species	                  Vescimonas fastidiosa
2.382	2918	0	103	1.06e+03	4.407e-05	2842531	genus	                Solibaculum
2.382	2918	2918	103	1.06e+03	4.407e-05	2780922	species	                  Solibaculum mannosilyticum
0.6287	770	0	162	314	5.069e-05	2591381	genus	                Dysosmobacter
0.6287	770	770	162	314	5.069e-05	2093857	species	                  Dysosmobacter welbionis
0.5707	699	4	271	148	2.881e-05	1263	genus	                Ruminococcus
0.5332	653	653	99	333	4.301e-05	2564099	species	                  Ruminococcus bovis
0.03348	41	41	110	36	3.871e-05	1160721	species	                  Ruminococcus bicirculans
0.0008165	1	0	24	15.8	5.635e-06	1264	species	                  Ruminococcus albus
0.0008165	1	1	24	15.8	5.635e-06	697329	strain	                    Ruminococcus albus 7 = DSM 20455
0.2988	366	0	185	728	4.435e-05	1905344	genus	                Ruthenibacterium
0.2988	366	366	185	728	4.435e-05	1550024	species	                  Ruthenibacterium lactatiformans
